"crossing_id","filename","time_diff","gpslatitude","lat_map","lat_gps_linked","lat_pscis","gpslongitude","lon_map","lon_gps_linked","lon_pscis","createdate","gps_extracted_time","ele","imagedescription","model","url","easting","northing"
"125000","upstream1.JPG",0,NA,54.4851207174361,54.4851207174361,54.4855449381482,NA,-121.802577199414,-121.802577199414,-121.803170980511,2019-09-02 10:12:56,2019-09-02 10:12:56,761.33,NA,"FinePix XP80 XP81 XP85","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125000/upstream1.JPG",577573.268048393,6038158.45478529
"125000","upstream2.JPG",1,NA,54.4845561124384,54.4845561124384,54.4855449381482,NA,-121.801522755995,-121.801522755995,-121.803170980511,2019-09-02 10:24:18,2019-09-02 10:24:17,771.07,NA,"FinePix XP80 XP81 XP85","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125000/upstream2.JPG",577642.645083906,6038096.79859437
"125000","upstream3.JPG",4,NA,54.4846434518695,54.4846434518695,54.4855449381482,NA,-121.801073569804,-121.801073569804,-121.803170980511,2019-09-02 10:35:06,2019-09-02 10:35:02,771.51,NA,"FinePix XP80 XP81 XP85","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125000/upstream3.JPG",577671.578434295,6038107.01171706
"125000","upstream5.JPG",2,NA,54.4841931760311,54.4841931760311,54.4855449381482,NA,-121.798916319385,-121.798916319385,-121.803170980511,2019-09-02 10:54:24,2019-09-02 10:54:22,774.54,NA,"FinePix XP80 XP81 XP85","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125000/upstream5.JPG",577812.182649379,6038059.29606981
"125000","us6.JPG",1,54.4773472222222,54.4787914585322,54.4787914585322,54.4855449381482,-121.787986111111,-121.783280968666,-121.783280968666,-121.803170980511,2019-09-08 15:49:31,2019-09-08 15:49:30,813.52,"PSCIS 125000 upstream ","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125000/us6.JPG",578835.458966604,6037475.69181746
"125000","us8.JPG",41,54.48355,54.48355,54.4839546270669,54.4855449381482,-121.765983333333,-121.765983333333,-121.766673736274,-121.803170980511,2019-09-08 16:06:02,2019-09-08 16:05:21,887.13,"PSCIS 125000 upstream ","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125000/us8.JPG",579946.894598378,6038024.64306756
"125000","us9.JPG",82,54.4839333333333,54.4839333333333,54.4839546270669,54.4855449381482,-121.766686111111,-121.766686111111,-121.766673736274,-121.803170980511,2019-09-08 16:06:43,2019-09-08 16:05:21,887.13,"PSCIS 125000 upstream ","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125000/us9.JPG",579900.619410229,6038066.49513396
"125098","barrel.JPG",3,54.45815,54.45815,54.4567198120058,54.4566183273197,-121.723297222222,-121.723297222222,-121.72138270922,-121.72120779502,2019-09-08 17:09:59,2019-09-08 17:09:56,775.45,"PSCIS 125098","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125098/barrel.JPG",582763.462827991,6035247.95577988
"125098","downstream.JPG",2,54.4566833333333,54.4566833333333,54.4566240068525,54.4566183273197,-121.721352777778,-121.721352777778,-121.721266368404,-121.72120779502,2019-09-08 17:12:18,2019-09-08 17:12:16,771.14,"PSCIS 125098","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125098/downstream.JPG",582892.470156205,6035087.06186885
"125098","downstream2.JPG",2,54.45665,54.45665,54.4564696121961,54.4566183273197,-121.7212,-121.7212,-121.720540747046,-121.72120779502,2019-09-08 17:16:13,2019-09-08 17:16:11,765.87,"PSCIS 125098 downstream ","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125098/downstream2.JPG",582902.441304178,6035083.53308066
"125098","downstream3.JPG",3,54.45665,54.45665,54.4564708694816,54.4566183273197,-121.7212,-121.7212,-121.720570418984,-121.72120779502,2019-09-08 17:16:19,2019-09-08 17:16:16,765.88,"PSCIS 125098 downstream ","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125098/downstream3.JPG",582902.441304178,6035083.53308066
"125098","downstream4.JPG",0,54.4564527777778,54.4564527777778,54.4563587196171,54.4566183273197,-121.720519444444,-121.720519444444,-121.720101367682,-121.72120779502,2019-09-08 17:20:31,2019-09-08 17:20:31,770.46,"PSCIS 125098 downstream ","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125098/downstream4.JPG",582946.956974052,6035062.3916768
"125098","downstream5.JPG",0,54.4563472222222,54.4563472222222,54.4561465736479,54.4566183273197,-121.720047222222,-121.720047222222,-121.719702053815,-121.72120779502,2019-09-08 17:22:26,2019-09-08 17:22:26,770.24,"PSCIS 125098 downstream ","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125098/downstream5.JPG",582977.782349031,6035051.20398927
"125098","IMG_0731.JPG",0,54.4563472222222,54.4563472222222,54.4561424665153,54.4566183273197,-121.720047222222,-121.720047222222,-121.719689145684,-121.72120779502,2019-09-08 17:22:46,2019-09-08 17:22:46,769.79,"PSCIS 125098 downstream ","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125098/IMG_0731.JPG",582977.782349031,6035051.20398927
"125098","inlet.JPG",2,54.45815,54.45815,54.456709753722,54.4566183273197,-121.723297222222,-121.723297222222,-121.721385726705,-121.72120779502,2019-09-08 17:09:53,2019-09-08 17:09:51,775.71,"PSCIS 125098","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125098/inlet.JPG",582763.462827991,6035247.95577988
"125098","outlet.JPG",4,54.4566833333333,54.4566833333333,54.4566282816231,54.4566183273197,-121.721352777778,-121.721352777778,-121.721260417253,-121.72120779502,2019-09-08 17:12:15,2019-09-08 17:12:11,771.21,"PSCIS 125098","iPhone 7 Plus","https://raw.githubusercontent.com/NewGraphEnvironment/Parsnip_Fish_Passage/master/data/photos/125098/outlet.JPG",582892.470156205,6035087.06186885
